2019-06-10 20:40:43 status unpacked libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:43 install libcap2:amd64 <none> 1:2.24-12
2019-06-10 20:40:43 status half-installed libcap2:amd64 1:2.24-12
2019-06-10 20:40:43 status unpacked libcap2:amd64 1:2.24-12
2019-06-10 20:40:43 status unpacked libcap2:amd64 1:2.24-12
2019-06-10 20:40:43 install libcap2-bin:amd64 <none> 1:2.24-12
2019-06-10 20:40:43 status half-installed libcap2-bin:amd64 1:2.24-12
2019-06-10 20:40:43 status unpacked libcap2-bin:amd64 1:2.24-12
2019-06-10 20:40:43 status unpacked libcap2-bin:amd64 1:2.24-12
2019-06-10 20:40:43 install libcomerr2:amd64 <none> 1.42.13-1ubuntu1
2019-06-10 20:40:43 status half-installed libcomerr2:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:43 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:43 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:43 install libcryptsetup4:amd64 <none> 2:1.6.6-5ubuntu2
2019-06-10 20:40:43 status half-installed libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2019-06-10 20:40:43 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2019-06-10 20:40:43 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2019-06-10 20:40:43 install libdb5.3:amd64 <none> 5.3.28-11
2019-06-10 20:40:43 status half-installed libdb5.3:amd64 5.3.28-11
2019-06-10 20:40:43 status unpacked libdb5.3:amd64 5.3.28-11
2019-06-10 20:40:43 status unpacked libdb5.3:amd64 5.3.28-11
2019-06-10 20:40:43 install libdebconfclient0:amd64 <none> 0.198ubuntu1
2019-06-10 20:40:43 status half-installed libdebconfclient0:amd64 0.198ubuntu1
2019-06-10 20:40:43 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2019-06-10 20:40:43 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2019-06-10 20:40:43 install libdevmapper1.02.1:amd64 <none> 2:1.02.110-1ubuntu10
2019-06-10 20:40:43 status half-installed libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2019-06-10 20:40:43 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2019-06-10 20:40:43 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2019-06-10 20:40:43 install libfdisk1:amd64 <none> 2.27.1-6ubuntu3
2019-06-10 20:40:43 status half-installed libfdisk1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:43 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:43 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:43 install libgcc1:amd64 <none> 1:6.0.1-0ubuntu1
2019-06-10 20:40:43 status half-installed libgcc1:amd64 1:6.0.1-0ubuntu1
2019-06-10 20:40:43 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2019-06-10 20:40:43 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2019-06-10 20:40:43 install libgcrypt20:amd64 <none> 1.6.5-2
2019-06-10 20:40:43 status half-installed libgcrypt20:amd64 1.6.5-2
2019-06-10 20:40:43 status unpacked libgcrypt20:amd64 1.6.5-2
2019-06-10 20:40:43 status unpacked libgcrypt20:amd64 1.6.5-2
2019-06-10 20:40:43 install libgpg-error0:amd64 <none> 1.21-2ubuntu1
2019-06-10 20:40:43 status half-installed libgpg-error0:amd64 1.21-2ubuntu1
2019-06-10 20:40:43 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2019-06-10 20:40:43 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2019-06-10 20:40:43 install libkmod2:amd64 <none> 22-1ubuntu4
2019-06-10 20:40:43 status half-installed libkmod2:amd64 22-1ubuntu4
2019-06-10 20:40:43 status unpacked libkmod2:amd64 22-1ubuntu4
2019-06-10 20:40:43 status unpacked libkmod2:amd64 22-1ubuntu4
2019-06-10 20:40:43 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2019-06-10 20:40:43 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2019-06-10 20:40:43 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2019-06-10 20:40:43 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2019-06-10 20:40:43 install libmount1:amd64 <none> 2.27.1-6ubuntu3
2019-06-10 20:40:43 status half-installed libmount1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:43 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:43 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:43 install libncurses5:amd64 <none> 6.0+20160213-1ubuntu1
2019-06-10 20:40:43 status half-installed libncurses5:amd64 6.0+20160213-1ubuntu1
2019-06-10 20:40:43 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2019-06-10 20:40:43 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2019-06-10 20:40:43 install libncursesw5:amd64 <none> 6.0+20160213-1ubuntu1
2019-06-10 20:40:43 status half-installed libncursesw5:amd64 6.0+20160213-1ubuntu1
2019-06-10 20:40:43 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2019-06-10 20:40:43 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2019-06-10 20:40:43 install libpam-modules:amd64 <none> 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status half-installed libpam-modules:amd64 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 install libpam-modules-bin:amd64 <none> 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status half-installed libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 install libpam0g:amd64 <none> 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status half-installed libpam0g:amd64 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2019-06-10 20:40:43 install libpcre3:amd64 <none> 2:8.38-3.1
2019-06-10 20:40:43 status half-installed libpcre3:amd64 2:8.38-3.1
2019-06-10 20:40:43 status unpacked libpcre3:amd64 2:8.38-3.1
2019-06-10 20:40:43 status unpacked libpcre3:amd64 2:8.38-3.1
2019-06-10 20:40:43 install libprocps4:amd64 <none> 2:3.3.10-4ubuntu2
2019-06-10 20:40:43 status half-installed libprocps4:amd64 2:3.3.10-4ubuntu2
2019-06-10 20:40:43 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2019-06-10 20:40:43 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2019-06-10 20:40:43 install libseccomp2:amd64 <none> 2.2.3-3ubuntu3
2019-06-10 20:40:43 status half-installed libseccomp2:amd64 2.2.3-3ubuntu3
2019-06-10 20:40:43 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2019-06-10 20:40:43 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2019-06-10 20:40:43 install libselinux1:amd64 <none> 2.4-3build2
2019-06-10 20:40:43 status half-installed libselinux1:amd64 2.4-3build2
2019-06-10 20:40:43 status unpacked libselinux1:amd64 2.4-3build2
2019-06-10 20:40:43 status unpacked libselinux1:amd64 2.4-3build2
2019-06-10 20:40:43 install libsemanage-common:all <none> 2.3-1build3
2019-06-10 20:40:43 status half-installed libsemanage-common:all 2.3-1build3
2019-06-10 20:40:43 status unpacked libsemanage-common:all 2.3-1build3
2019-06-10 20:40:43 status unpacked libsemanage-common:all 2.3-1build3
2019-06-10 20:40:43 install libsemanage1:amd64 <none> 2.3-1build3
2019-06-10 20:40:43 status half-installed libsemanage1:amd64 2.3-1build3
2019-06-10 20:40:43 status unpacked libsemanage1:amd64 2.3-1build3
2019-06-10 20:40:43 status unpacked libsemanage1:amd64 2.3-1build3
2019-06-10 20:40:43 install libsepol1:amd64 <none> 2.4-2
2019-06-10 20:40:43 status half-installed libsepol1:amd64 2.4-2
2019-06-10 20:40:43 status unpacked libsepol1:amd64 2.4-2
2019-06-10 20:40:43 status unpacked libsepol1:amd64 2.4-2
2019-06-10 20:40:43 install libsmartcols1:amd64 <none> 2.27.1-6ubuntu3
2019-06-10 20:40:43 status half-installed libsmartcols1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:43 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:43 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:44 install libss2:amd64 <none> 1.42.13-1ubuntu1
2019-06-10 20:40:44 status half-installed libss2:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:44 status unpacked libss2:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:44 status unpacked libss2:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:44 install libsystemd0:amd64 <none> 229-4ubuntu4
2019-06-10 20:40:44 status half-installed libsystemd0:amd64 229-4ubuntu4
2019-06-10 20:40:44 status unpacked libsystemd0:amd64 229-4ubuntu4
2019-06-10 20:40:44 status unpacked libsystemd0:amd64 229-4ubuntu4
2019-06-10 20:40:44 install libtinfo5:amd64 <none> 6.0+20160213-1ubuntu1
2019-06-10 20:40:44 status half-installed libtinfo5:amd64 6.0+20160213-1ubuntu1
2019-06-10 20:40:44 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2019-06-10 20:40:44 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2019-06-10 20:40:44 install libudev1:amd64 <none> 229-4ubuntu4
2019-06-10 20:40:44 status half-installed libudev1:amd64 229-4ubuntu4
2019-06-10 20:40:44 status unpacked libudev1:amd64 229-4ubuntu4
2019-06-10 20:40:44 status unpacked libudev1:amd64 229-4ubuntu4
2019-06-10 20:40:44 install libustr-1.0-1:amd64 <none> 1.0.4-5
2019-06-10 20:40:44 status half-installed libustr-1.0-1:amd64 1.0.4-5
2019-06-10 20:40:44 status unpacked libustr-1.0-1:amd64 1.0.4-5
2019-06-10 20:40:44 status unpacked libustr-1.0-1:amd64 1.0.4-5
2019-06-10 20:40:44 install libuuid1:amd64 <none> 2.27.1-6ubuntu3
2019-06-10 20:40:44 status half-installed libuuid1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:44 status unpacked libuuid1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:44 status unpacked libuuid1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:44 install locales:all <none> 2.23-0ubuntu3
2019-06-10 20:40:44 status half-installed locales:all 2.23-0ubuntu3
2019-06-10 20:40:44 status unpacked locales:all 2.23-0ubuntu3
2019-06-10 20:40:44 status unpacked locales:all 2.23-0ubuntu3
2019-06-10 20:40:44 install login:amd64 <none> 1:4.2-3.1ubuntu5
2019-06-10 20:40:44 status half-installed login:amd64 1:4.2-3.1ubuntu5
2019-06-10 20:40:44 status unpacked login:amd64 1:4.2-3.1ubuntu5
2019-06-10 20:40:44 status unpacked login:amd64 1:4.2-3.1ubuntu5
2019-06-10 20:40:44 install lsb-base:all <none> 9.20160110
2019-06-10 20:40:44 status half-installed lsb-base:all 9.20160110
2019-06-10 20:40:44 status unpacked lsb-base:all 9.20160110
2019-06-10 20:40:44 status unpacked lsb-base:all 9.20160110
2019-06-10 20:40:44 install makedev:all <none> 2.3.1-93ubuntu1
